canonical_name,journal_or_journal_plus_scene,folder_path,player_summary,gm_truth,subareas,linked_npcs,linked_clues,map_notes_yes_no,source_pages
Macallistar Building,Journal + Scene,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,A decaying artists’ co-op in Manhattan where Abigail Wright vanished.,By day it looks merely strange; by night it opens into the Night Floors and the tenants live double lives.,Front entry; halls; stairs; basement; tenant doors; top-floor stair landing; roof-door threshold,Abigail Wright; Thomas Manuel; Roger Carun; Michelle Vanfitz; Louis Post; Cynthia Lechance; Giuradanda; David Langford,unpaid utilities; ceased shopping; last outgoing phone call; Wright case timeline,Yes,"IL pp. 70-74, 84-97, 97-112"
ARTLIFE Office,Journal-only,OP1 - The Night Floors / 20 - Locations / 40 - External Investigation Sites,The nonprofit office that owns and manages the building.,"Gives the clean day-world truth: tenancy, late rent, and ARTLIFE’s quiet desire to empty the building for renovation.",Reception / admin office,Cynthia Lechance,ownership records; rent delinquency; eviction pressure,No,IL pp. 72-74
Abigail Wright’s Apartment and Shrine,Journal + Scene,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,"The missing artist’s apartment, transformed into a baffling shrine-wall of papers and objects.",Central clue location; prolonged exposure affects Agents; the apartment is the clearest physical sign that the building is already infected.,Main room / shrine wall; stripped floor; seized electronics traces,Abigail Wright; Thomas Wright; Giuradanda; Thomas Manuel,shrine strata; occult seal; receipt; sheet music; mysterious play pages; device remnants,Yes,IL pp. 74-82
Thomas Manuel’s Apartment,Journal-only,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,The apartment of the young painter across from Wright’s door.,"Contains clear signs of surveillance, fixation, and night-side leakage even when Manuel denies anything is wrong.",Main room; hidden recess in plant base; refrigerator; door threshold facing Wright’s apartment,Thomas Manuel,Ambrose locket; cassette recorder; hidden microphone wire; impossible food dates,Optional,IL pp. 85-88
Thomas Manuel’s Basement Studio,Journal-only,OP1 - The Night Floors / 20 - Locations / 30 - Building Subareas,A hidden workroom in the building basement used for painting.,"Holds “My Great Work,” linseed oil for “Sami,” and paintings that later echo real-world horrors.",Small studio room; stacked canvases; linseed oil pails,Thomas Manuel,“My Great Work”; linseed oil; ominous paintings,No,IL pp. 87-88
Roger Carun’s Apartment,Journal-only,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,The cluttered apartment of a genre writer who has stopped showing up for his life.,Carun is altering or channeling material tied to the play; his apartment supports the last-call clue path and paranoia signs.,Living space / writing area; openings with telltale hairs; word processor area,Roger Carun; Carmen Wagner,19 APR call; answering-machine lead; word processor text; hairs on doors/openings,No,IL pp. 89-91
Michelle Vanfitz’s Apartment,Journal + Scene,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,A cramped writer’s apartment buried in books.,By day it contains Wright’s battered Red Book; by night an archway opens to endless book-rooms of the Night Floors.,Front room; bedroom nook; bathroom; kitchenette; living room; night archway; endless book-rooms,Michelle Vanfitz,Red Book; endless books; impossible food dates; mace / tomahawk threat; feminist reading of the play,Yes,IL pp. 91-95
Louis Post’s Apartment,Journal-only,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,The workspace of a talented illustrator whose life has come apart.,By night he becomes far more dangerous; the apartment is more a pressure-cooker than a clue cache.,Living / work area,Louis Post,deteriorating work-life evidence; India-ink traces,No,IL pp. 95-97
Top-Floor Stair Landing / Roof Door,Journal-only,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,The upper landing where the building stops behaving correctly.,Langford vanished here while working the cable box at the day/night threshold. This is also tied to Wright’s 1994 mugging near the roof door.,Landing; cable box; roof access threshold,David Langford; Abigail Wright,Langford disappearance; cable junction; roof-door anomaly,Optional,"IL pp. 54-56, 97-101"
The Night Floors,Journal + Scene,OP1 - The Night Floors / 20 - Locations / 50 - Night Floors,Endless rooms beyond the roof exit where the building no longer obeys reality.,"The lost and the mad live here as dark caricatures; Wright cannot be recovered here in Part One, only understood.",Endless rooms; corridors; abandoned party rooms; tenant spillover spaces; access to specific resident encounters,David Langford; Mark Roark; Henri de Calvados Castaigne; Encyclopedia Salesman; The Dog; Thomas Manuel; Michelle Vanfitz,Langford survival; Roark’s hotel logic; Castaigne’s claims; Dog manifestations; deeper invitations to continue downward,Yes,IL pp. 97-112
Smoking Lounge,Journal-only,OP1 - The Night Floors / 20 - Locations / 50 - Night Floors,A night-side lounge that should not exist in the building.,Manuel places Wright’s going-away party here; it is a stable enough named anchor to warrant its own location entry.,Lounge proper / party space,Thomas Manuel; Mark Roark,going-away party; “moved on / moved upstairs” testimony,Optional,"IL pp. 86, 97-99, 102, 112"
