canonical_name,aliases,actor_or_journal_or_both,folder_path,player_summary,gm_truth,linked_locations,linked_clues,recurring_status,source_pages
Abigail Wright,none stated,Journal dossier,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,Talented young painter who vanished from the Macallistar Building.,"Bought The King in Yellow, shared it, discovered the Night Floors, built the shrine, and moved beyond recovery in Part One.",Macallistar Building; Abigail Wright’s Apartment and Shrine; Bookshop; Night Floors,Shrine wall; receipt; sheet music; seal; first page of the mysterious play; Broadalbin photo,SHARED,"IL pp. 66-67, 74, 112"
"Thomas Weston Wright, Jr.",Officer Wright; Thomas Wright,Both,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,Grieving Nassau County police officer trying to find his daughter.,"If he gets a real whiff of the unnatural, he can become dangerously obsessive and relocate to stalk the building.",Baldwin home; Macallistar Building; Ace Hotel,Photo of Thomas and Ellen; Abigail case file; shrine investigation,OP1,"IL pp. 83-84, 119"
Dr. Marvin Bloom,Agent Marcus,Both,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,Cautious FBI psychologist turned Delta Green case officer.,"He is the DG bridge into the case, but not a deep Night Floors mystery figure himself.",Operation frame; Macallistar Building,Operation ALICE briefing; DG insertion into Wright case,OP1,"IL pp. 67-69, 114"
Graham Giuradanda,Detective Giuradanda,Both,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,Helpful NYPD detective handling the missing-person case.,"Honest, useful, statted, and an excellent replacement-Agent candidate.",Macallistar Building; NYPD case frame,Wright disappearance file; shrine scene; police access,OP1,"IL pp. 74, 116-117"
Cynthia Lechance,none stated,Journal dossier,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,Well-to-do art administrator overseeing the building’s rentals.,"She is not part of the occult problem, but she confirms tenancy, nonpayment, and renovation pressure.",ARTLIFE Office; Macallistar Building,tenancy list; eviction pressure; Daribondi victim-name callback,OP1,IL pp. 72-74
Thomas Manuel,none stated,Both,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,Young painter with expensive stereo gear and increasingly strange behavior.,"Day/night split is crucial: microphone wire, basement studio, “night manager,” going-away party, obsession with moving upstairs.",Thomas Manuel’s Apartment; Wright’s hall; basement studio; Night Floors; Smoking Lounge,Ambrose locket; microphone wire; linseed oil; “My Great Work”; going-away party; Dog,OP1,"IL pp. 85-89, 117-118"
Arthur and Elaine Manuel,none stated,Journal dossier,OP1 - The Night Floors / 30 - People / Groups / 40 - Families & Contacts,Thomas Manuel’s worried parents.,They were turned away after dark by a man with a suitcase and a large grey dog.,Hempstead home; Macallistar Building,family testimony; “man with suitcase and dog” report,OP1,IL pp. 86-87
Roger Peter Carun,Roger Carun,Both,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,Science-fiction author and Wright’s neighbor.,"Key day/night split witness; his word processor, calls, and editor are major clue vectors.",Roger Carun’s Apartment; Macallistar Building,answering-machine message; Nightsea; word processor text; Night Floors draft; hairs at openings,OP1,"IL pp. 89-91, 115-116"
Carmen Wagner,none stated,Journal dossier,OP1 - The Night Floors / 30 - People / Groups / 40 - Families & Contacts,Carun’s editor with a preserved phone message.,Holds the 19 APR call and recurring “Peter Devoras” clue stream.,Carmen Wagner’s apartment; Crescent Publishing,answering-machine message; Peter Devoras name-list thread,OP1,IL pp. 89-91
Michelle Vanfitz,none stated,Both,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,Reclusive writer with an apartment full of books.,Holds Wright’s copy of the Red Book; night archway and shelf-books are major clue infrastructure.,Michelle Vanfitz’s Apartment; Macallistar Building; Night Floors,Red Book copy; A World Without Doors; English-Tartessian dictionary; alternate-history books,OP1,"IL pp. 91-95, 118"
Louis Adar Post,Louis Post,Both,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,Disheveled illustrator whose work and life are collapsing.,Strongly corrupted tenant with “work” and Soul Bottle fixation; useful as a violent pressure point.,Louis Post’s Apartment; Macallistar Building,artwork; India-ink traces; tenant-collapse evidence,OP1,"IL pp. 95-97, 118-119"
Mark Armin Roark,Mark Roark,Both,SHARED / 30 - Recurring Cast,Ragged salesman trapped in repetition.,Broadalbin-linked repeater with access to Night World routes and later relevance.,Night Floors; Hotel Broadalbin; Bookshop; Macallistar Building,Broadalbin name; bottle obsession; route-finding through impossible doors,SHARED,"IL pp. 97-100, 118"
The Dog,Abraham,Actor,SHARED / 40 - Entities & Threats / 10 - Recurring Creatures,"Large grey mastiff, invisible to those not open to the Night Floors.",Affable but uncanny entity tied to the building’s deeper Broadalbin/Lundine history; follows if called by name.,Night Floors; Macallistar Building,Abraham family photo; Manuel family testimony; ball-bouncing sounds,SHARED,"IL pp. 100-101, 117"
David Langford,none stated,Both,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,"Missing cable repairman, filthy, starving, and terrified.",Vanished at the top-floor stair landing when day changed to night; one of the clearest proofs the building is already actively taking people.,Top-floor stair landing; Night Floors,missing-person report; cable box access; Ian Langford report,OP1,"IL pp. 55, 100-101, 113"
Encyclopedia Salesman,none stated,Journal dossier,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,Elusive dapper salesman seen only in glimpses.,"Agents below higher Corruption mostly catch only glimpses; he is encounter structure, not a stable social NPC.",Night Floors; Macallistar Building,peripheral sightings; pursuit manifestations,OP1,IL p. 101
Henri de Calvados Castaigne,Mr. Castaigne; Henri Castaigne,Both,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,"Tiny white-haired man in antiquated clothes, shuffling through papers and old photos.","Self-styled heir and trapped Night World resident; obsessed with kingship, hidden genealogies, and his Soul Bottle.",Night Floors; Macallistar Building; Broadalbin; Bookshop,lineage pages; crown delusion; “Superintendent” lead; cousin reference to Hildred,OP1,"IL pp. 102-104, 115"
